#Name 	 Effective radius 	 Scale Radius
#		 (in kpc)	 (in kpc)
M81	0.008255407361933179 kpc	1.899773437503308 kpc
M87	7.87811371976539 kpc		0.0 kpc
M101	0.001737572233096577 kpc	3.4997497301368257 kpc
